season,through_week,team,metric,family,direction,phase3_status,n_games,n_opportunities,raw_value,ref_mean,ref_sd,ref_seasons,k,shrunk_value,z_raw,z_shrunk,oriented_z_shrunk,rank_of_league,percentile,confidence,in_index,shrunk_prev_week,shrunk_preseason,delta_shrunk_vs_prev_week,delta_shrunk_vs_preseason
2026,0,LV,team_defense.explosive_rush_rate,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.09766454352441614,0.09995627452646601,0.020596023639878284,"2023,2024,2025",16,0.09877568582844032,-0.11127055601220939,-0.05732119552144124,0.05732119552144124,19,0.41935483870967744,prior_season_only,true,0.09877568582844032,0.09877568582844032,0.0,0.0
2026,0,LV,team_defense.pass_epa_per_dropback,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.10565004725979969,0.03612076420012932,0.09487757506079898,"2023,2024,2025",16,0.0719388797157171,0.7328315781164829,0.3775192978175821,-0.3775192978175821,23,0.2903225806451613,prior_season_only,true,0.0719388797157171,0.0719388797157171,0.0,0.0
2026,0,LV,team_defense.pass_success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.48135593220338985,0.45363962350332016,0.03204062541287013,"2023,2024,2025",16,0.46791772192456815,0.8650364449171007,0.44562483526032387,-0.44562483526032387,22,0.3225806451612903,prior_season_only,true,0.46791772192456815,0.46791772192456815,0.0,0.0
2026,0,LV,team_defense.rush_epa_per_play,team_defense,lower_better,NOT_RANK_PERSISTENT,17,1096,-0.09019728154248448,-0.07599918977141418,0.064949391344954,"2023,2024,2025",14,-0.08378524009748499,-0.21860238374925692,-0.11987872657217317,0.11987872657217317,13,0.6129032258064516,prior_season_only,true,-0.08378524009748499,-0.08378524009748499,0.0,0.0
2026,0,LV,team_defense.rush_success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.40764331210191085,0.4019777133617364,0.032975036932461385,"2023,2024,2025",16,0.40489635513697775,0.17181478073181855,0.08851064461942096,-0.08851064461942096,15,0.5483870967741935,prior_season_only,true,0.40489635513697775,0.40489635513697775,0.0,0.0
2026,0,LV,team_defense.success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.4489051094890511,0.43839550006288847,0.025454573794236213,"2023,2024,2025",16,0.4438095412824268,0.4128770534960743,0.21269423967979526,-0.21269423967979526,17,0.4838709677419355,prior_season_only,true,0.4438095412824268,0.4438095412824268,0.0,0.0
2026,0,LV,team_offense.early_down_epa_per_play,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,982,-0.16348763290662272,-0.005377369437322377,0.078391754097071,"2023,2024,2025",8,-0.11289234859644663,-2.016924679010441,-1.3715087817271001,-1.3715087817271001,31,0.03225806451612903,prior_season_only,true,-0.11289234859644663,-0.11289234859644663,0.0,0.0
2026,0,LV,team_offense.epa_per_play,team_offense,higher_better,VALIDATED_PERSISTENCE,17,982,-0.1920417273803437,-0.00013083193528753284,0.09208398177730366,"2023,2024,2025",8,-0.13063024083792574,-2.0840855460526715,-1.4171781713158167,-1.4171781713158167,32,0.0,prior_season_only,true,-0.13063024083792574,-0.13063024083792574,0.0,0.0
2026,0,LV,team_offense.explosive_pass_rate,team_offense,higher_better,RANK_PERSISTENT,17,982,0.061872909698996656,0.0795744413888399,0.017733172299595607,"2023,2024,2025",16,0.07045547051831459,-0.9982157388865451,-0.514232350335493,-0.514232350335493,29,0.0967741935483871,prior_season_only,true,0.07045547051831459,0.07045547051831459,0.0,0.0
2026,0,LV,team_offense.explosive_rush_rate,team_offense,higher_better,NOT_RANK_PERSISTENT,17,982,0.08,0.09901553176727344,0.01953435294400914,"2023,2024,2025",16,0.08921965176595076,-0.9734405752664148,-0.5014693872584562,-0.5014693872584562,24,0.25806451612903225,prior_season_only,false,0.08921965176595076,0.08921965176595076,0.0,0.0
2026,0,LV,team_offense.pass_epa_per_dropback,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,982,-0.16580832874566523,0.030780199231029884,0.1279708212728859,"2023,2024,2025",8,-0.10289999979312282,-1.536198064693891,-1.044614683991846,-1.044614683991846,30,0.06451612903225806,prior_season_only,true,-0.10289999979312282,-0.10289999979312282,0.0,0.0
2026,0,LV,team_offense.pass_success_rate,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,982,0.411371237458194,0.4520797072840564,0.04182371000768115,"2023,2024,2025",8,0.42439794780247,-0.9733347380800526,-0.6618676218944352,-0.6618676218944352,29,0.0967741935483871,prior_season_only,true,0.42439794780247,0.42439794780247,0.0,0.0
2026,0,LV,team_offense.proe,team_offense,neutral,VALIDATED_PERSISTENCE,17,982,-0.05130131589343616,-0.047704012843975276,0.034857526884517355,"2023,2024,2025",4,-0.05061611531258647,-0.10320018001789721,-0.08354300287163109,-0.0,,,prior_season_only,false,-0.05061611531258647,-0.05061611531258647,0.0,0.0
2026,0,LV,team_offense.rush_epa_per_play,team_offense,higher_better,RANK_PERSISTENT,17,982,-0.3041450345190189,-0.08060335268387975,0.07536384453942868,"2023,2024,2025",16,-0.19576118878076962,-2.966166113224056,-1.528024967418453,-1.528024967418453,32,0.0,prior_season_only,true,-0.19576118878076962,-0.19576118878076962,0.0,0.0
