family,metric,window,n,placebo_skill_vs_league_mean,placebo_skill_vs_league_p95_abs,placebo_spearman_mean,placebo_spearman_p95_abs,n_permutations
team_defense,explosive_pass_rate,season_to_date,2870,-0.05483324558263717,0.0655697082783627,0.010041787625775386,0.03751659247809184,20
team_defense,explosive_pass_rate,trailing_3,2870,-0.14471619219703835,0.15574914198681664,0.011252375633449854,0.03248161417676852,20
team_defense,explosive_pass_rate,trailing_5,2870,-0.09181772364223126,0.09908162888840916,0.012212076515231873,0.03885683694722106,20
team_defense,explosive_pass_rate,prior_season,2870,-0.0304980740613613,0.03596284007762318,0.006104154924786476,0.03005001456408437,20
team_defense,explosive_rush_rate,season_to_date,2870,-0.07472752056853067,0.08349660028368018,0.0038029115480869846,0.02964669732722767,20
team_defense,explosive_rush_rate,trailing_3,2870,-0.16258393460796175,0.174013043868842,0.0012651490757376563,0.02006376676685225,20
team_defense,explosive_rush_rate,trailing_5,2870,-0.10782805536257434,0.11825032311014065,0.001221573054082103,0.02791740882874872,20
team_defense,explosive_rush_rate,prior_season,2870,-0.04891662227574314,0.05784551131888171,-0.00294053234648754,0.03697581526965613,20
pass_protection,sack_rate_allowed,season_to_date,2870,-0.09245199360087081,0.0999315545377049,-0.000642911929256107,0.03486867494647068,20
pass_protection,sack_rate_allowed,trailing_3,2869,-0.17437790261504746,0.1859857574768031,-0.0014563766156754192,0.01890909636428357,20
pass_protection,sack_rate_allowed,trailing_5,2870,-0.12453041005184048,0.13384576941352228,-0.0012514198553003788,0.037082249653311035,20
pass_protection,sack_rate_allowed,prior_season,2870,-0.0658480249536016,0.07343688333436516,-0.00020546434516599603,0.034990863432213665,20
pass_protection,qb_hit_rate_allowed,season_to_date,2870,-0.12171712808530763,0.1378348429427166,-0.0008275350442438614,0.03883146602785585,20
pass_protection,qb_hit_rate_allowed,trailing_3,2869,-0.20250459999251044,0.22126039260003538,-0.005298168585674074,0.04433872523221915,20
pass_protection,qb_hit_rate_allowed,trailing_5,2870,-0.15197486697312118,0.16682496767060653,-0.002521804257723826,0.041599598331298025,20
pass_protection,qb_hit_rate_allowed,prior_season,2870,-0.09091700958009355,0.10065200641415917,0.0027713069107623165,0.03385208930660572,20
pass_protection,rush_stuffed_rate_approx,season_to_date,2870,-0.06375498413241013,0.07309100012513241,0.002536638660495052,0.03879526465664472,20
pass_protection,rush_stuffed_rate_approx,trailing_3,2869,-0.16482703697772147,0.18327774786239714,-0.002423110257346798,0.04065057026301356,20
pass_protection,rush_stuffed_rate_approx,trailing_5,2870,-0.10740209136369139,0.11734659092281698,0.002566490385591997,0.03142749403823306,20
pass_protection,rush_stuffed_rate_approx,prior_season,2870,-0.04240667518277521,0.0509593650864966,0.0005319423741575674,0.03870601113237444,20
pass_rush,sack_rate_generated,season_to_date,2870,-0.06285765520930107,0.07243940322057536,0.0040692344752304155,0.03750564253335532,20
pass_rush,sack_rate_generated,trailing_3,2869,-0.15990718538331303,0.17419481275358067,0.002290687620250844,0.03294677656660465,20
pass_rush,sack_rate_generated,trailing_5,2870,-0.10045979103726026,0.11330508376180852,0.0031044778614299504,0.04094997538384271,20
pass_rush,sack_rate_generated,prior_season,2870,-0.03354529693487891,0.04120567053527805,-0.002637621345991701,0.030893907190123145,20
pass_rush,qb_hit_rate_generated,season_to_date,2870,-0.07494522174756771,0.08358446996883144,0.003936544168471493,0.0323977572996625,20
pass_rush,qb_hit_rate_generated,trailing_3,2869,-0.16682880248395843,0.1822478557075203,0.0005441471368664408,0.044722065358550764,20
pass_rush,qb_hit_rate_generated,trailing_5,2870,-0.10585723179958775,0.11638756465989672,0.007794650365978513,0.03810640979218045,20
pass_rush,qb_hit_rate_generated,prior_season,2870,-0.04703662431624371,0.05291543788533665,0.0019861846091479237,0.0338366821602981,20
special_teams,st_epa_per_play,season_to_date,2869,-0.06450378485721604,0.07301887538691824,-0.00013577679063156412,0.026143134372799862,20
special_teams,st_epa_per_play,trailing_3,1556,-0.16044246248984706,0.17724786332506648,0.00800433158505622,0.03851017297051237,20
special_teams,st_epa_per_play,trailing_5,2870,-0.10956094736880488,0.11928848595428403,0.001923008580831935,0.027920460770576024,20
special_teams,st_epa_per_play,prior_season,2870,-0.036418142070404794,0.04316838166974905,0.004204527584863361,0.028212408247597805,20
special_teams,fg_pct,season_to_date,2530,-0.0555904701083053,0.06373142137965125,0.0010313127908841725,0.023712723846405204,20
special_teams,fg_pct,trailing_3,1387,-0.1699156577916074,0.20443236543504073,0.027084223518122896,0.0725845018156914,20
special_teams,fg_pct,trailing_5,2531,-0.09858852955890189,0.10810828005589805,0.010901287626707588,0.032056191663512576,20
special_teams,fg_pct,prior_season,2531,-0.034299421975176235,0.04171844693209288,0.000554867761814827,0.026205487302040066,20
