family,entity_type,source,metric,window,target_horizon,season_phase,n,n_entities,n_seasons,opportunity_n_median,target_mean,target_sd,rmse,mae,bias,spearman,pearson,rmse_league,rmse_prior_season,rmse_raw_trailing3,skill_vs_league,skill_vs_prior_season,skill_vs_raw_trailing3,n_prior_season,excluded_target_rate,skill_vs_league_ci_lo,skill_vs_league_ci_hi,skill_vs_prior_season_ci_lo,skill_vs_prior_season_ci_hi,spearman_ci_lo,spearman_ci_hi,bootstrap_iterations,bootstrap_method
team_offense,team,pbp,early_down_epa_per_play,prior_season,4,wk10_14,1014,32,7,1115.0,-0.002032444216423556,0.11019408565692536,0.11851076578091257,0.09561919124566122,0.007696603710234904,0.1951769446261474,0.20951438320383775,0.11190570627708951,0.11851076578091257,0.12994988445451064,-0.059023437888576336,0.0,0.08802715540391548,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,4,wk15_18,331,32,7,1137.0,0.02672381755156227,0.11847927837243652,0.11905444854814665,0.09666840801814963,-0.010611773452262978,0.2775174303365619,0.29817390344455946,0.12153460981200985,0.11905444854814665,0.1287939270316179,0.020407036873689943,0.0,0.07562063451237333,331,0.6105882352941177,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,4,wk5_9,1006,32,7,1111.0,0.0035623248090084574,0.10216892643565385,0.11533444665994978,0.09267904759549188,0.0006727491560364413,0.16391067695120237,0.16751602452028036,0.10358054696553631,0.11533444665994978,0.1306619897833426,-0.11347593770019637,0.0,0.11730682464585307,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,1,early,397,32,7,172.0,0.009921190819156505,0.19557391174339642,0.20812052402474607,0.16445049237369272,-0.005030742498592263,0.20102746385925507,0.20342862395907954,0.19540031283762446,0.19847593956553247,0.20653304968747535,-0.06509821300896257,-0.048593217295384905,-0.007686296888913757,397,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,1,primary_wk5_18_h1,2870,32,7,640.0,-0.0012215083300546041,0.18560707636024026,0.18547887873174734,0.1463479145266167,0.009565745121548043,0.22089132125280259,0.23033720775916586,0.1865010347658676,0.1908147621918631,0.19856291877800597,0.0054806989966755815,0.02796368267749938,0.06589367303210636,2870,NaN,-0.012136055233937737,0.02422792600338291,0.007159423160628367,0.050511150125042835,0.17881869652129492,0.2660019148937382,1000,multiplier_cluster_exponential
team_offense,team,pbp,early_down_epa_per_play,season_to_date,1,wk10_14,1014,32,7,666.0,-0.011473681399982807,0.1853475717276026,0.18334881591164076,0.1433883969331462,0.019982235340957295,0.23161634059065592,0.25004491892160724,0.186589888455579,0.1920154913940564,0.19868741212796256,0.017370033128616402,0.04513529309273179,0.07719963762195026,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,1,wk15_18,850,32,7,933.0,-0.0030475918293371563,0.19219493237010082,0.1856721411316078,0.14707661953112577,0.00850539719085273,0.26668099276017726,0.2812457504671596,0.19334143991689445,0.1957044593238203,0.20035860204571054,0.03966712355397384,0.051262593744032414,0.07330087535124707,850,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,1,wk5_9,1006,32,7,372.5,0.010655106448571013,0.17961888564003334,0.18743980812948705,0.14871526202755742,-0.000037659790370411405,0.17560117072542877,0.18225790797930888,0.18042688009454438,0.18533768157838593,0.1969063984272857,-0.03886853240086996,-0.011342143341811717,0.04807660072709374,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,2,early,397,32,7,172.0,0.017398536307773244,0.14183388730714727,0.16302128620635167,0.1308452336511493,-0.012508087987209005,0.23231012707994594,0.24519575468016824,0.14226056581291338,0.1473848698428077,0.1601752028198091,-0.14593447084092626,-0.1060924122009328,-0.0177685642748604,397,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,2,primary_wk5_18_h2,2732,32,7,620.0,0.002010143574677064,0.1380279622117431,0.1388480342033711,0.11012709704160868,0.007808785520736371,0.2891098733720201,0.2984247020965599,0.13913286811188655,0.14527961068231937,0.156673110800342,0.0020472079127009657,0.044270331182343914,0.11377240488756524,2732,NaN,-0.0331115766909799,0.03741732922068259,0.007559453992820822,0.08338493756404075,0.2329602048230975,0.34838314379721613,1000,multiplier_cluster_exponential
team_offense,team,pbp,early_down_epa_per_play,season_to_date,2,wk10_14,1014,32,7,666.0,-0.007823929924869985,0.13643833671878358,0.1320264205651073,0.10368841593267945,0.01633248386584447,0.333720507682346,0.3550905719388693,0.13798666957075262,0.1444919797236193,0.15304921047703388,0.04319438264715281,0.08627163377756886,0.13735967566511031,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,2,wk15_18,712,32,7,916.5,0.007566728388919318,0.1458247249468333,0.13976552783470064,0.11299126969234573,0.002990138541377824,0.32185288566116965,0.3348423727179693,0.14698969108848792,0.14962572345610375,0.16180579408958914,0.04914741435464565,0.06589906731041362,0.1362143202528655,712,0.1623529411764706,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,2,wk5_9,1006,32,7,372.5,0.007989728207679271,0.13344832474473214,0.14477690219193315,0.11458985222762205,0.0026277184505213314,0.22990793474490767,0.2351416687372843,0.13448819641674345,0.1429303728098539,0.1565913853131828,-0.07650266751520496,-0.012919083227577843,0.07544784853662734,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,4,early,397,32,7,172.0,0.013348100620802638,0.10562106047867403,0.1395958236584835,0.11083961743038463,-0.008457652300238396,0.24877536296090025,0.25390881125139664,0.10612503253153899,0.11318461228845822,0.13552763683911098,-0.3153901612892078,-0.23334630773584863,-0.030017396556555997,397,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,4,primary_wk5_18_h4,2351,32,7,566.0,0.004410201587399461,0.10843413949265002,0.11014972168004245,0.08698273599853575,0.008094564146620669,0.3728555997364782,0.37924218798376064,0.10987135225348749,0.11723972857501012,0.13009332747369065,-0.0025335942522370924,0.06047443968988275,0.153302295981948,2351,NaN,-0.0724673966488655,0.060021582928862165,-0.0036844232735690147,0.12300680302038047,0.301447754142085,0.45091878296699145,1000,multiplier_cluster_exponential
team_offense,team,pbp,early_down_epa_per_play,season_to_date,4,wk10_14,1014,32,7,666.0,-0.002032444216423556,0.11019408565692536,0.10631878599342531,0.08419968234675966,0.010540998157398045,0.400039093038064,0.4110999788095029,0.11190570627708951,0.11851076578091257,0.12994988445451064,0.049925249297211316,0.10287655899571369,0.1818477835534934,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,season_to_date,4,wk15_18,331,32,7,877.0,0.02672381755156227,0.11847927837243652,0.10574406505232553,0.0839529700776198,0.0037592011988407175,0.44946178562092376,0.47060426277188516,0.12153460981200985,0.11905444854814665,0.1287939270316179,0.1299263212685604,0.11180080759803179,0.17896699410084616,331,0.6105882352941177,,,,,,,,
