family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
team_defense,epa_per_play,oppadj_shrunk,4,2342,0.0390666098347569,-0.02978885929317765,-0.048366458417063454,-0.012603891938618921,0.011738202751561233,0.09094558069618508,shrunk_feature
team_defense,explosive_rush_rate,oppadj_raw,2,2721,0.15440993008473236,-0.0034234335132921068,-0.013431669132825617,0.005576024767187926,0.012193412254697389,0.0418408467964132,shrunk_feature
team_defense,explosive_rush_rate,oppadj_raw,4,2342,0.21226492184682993,-0.003993444586173345,-0.022662299750724167,0.01337657586770112,0.0236981061999888,0.07327852401736668,shrunk_feature
team_defense,explosive_rush_rate,oppadj_shrunk,2,2721,0.14104674023799277,-0.006849186301784327,-0.017875276222660524,0.002157903629307742,0.008820976392191149,0.038569629201450684,shrunk_feature
team_defense,explosive_rush_rate,oppadj_shrunk,4,2342,0.19483805437053023,-0.011942226343274465,-0.031340764641042934,0.004897902721643947,0.015968563019495896,0.06594151718537422,shrunk_feature
team_defense,pass_epa_per_dropback,oppadj_raw,2,2721,0.0755019874903617,-0.010010082034315193,-0.019500656730579206,-0.0013805437195994101,0.008780242400394211,0.05181723314983877,shrunk_feature
team_defense,pass_epa_per_dropback,oppadj_raw,4,2342,0.09335282198834617,-0.010950635638842687,-0.02831419763754799,0.0045555706293403195,0.014728101744046818,0.09058616752552229,shrunk_feature
team_defense,pass_epa_per_dropback,oppadj_shrunk,2,2721,0.0017177903308222215,-0.014397077581128848,-0.025002550089900436,-0.0050331282463031,0.004474862939483626,0.04769878557220775,shrunk_feature
team_defense,pass_epa_per_dropback,oppadj_shrunk,4,2342,-0.008035719365619138,-0.018723009462825235,-0.03702799247774016,-0.001992572162784023,0.00715315076073697,0.08359442725897048,shrunk_feature
team_defense,pass_success_rate,oppadj_raw,2,2721,0.08270653342901321,-0.01211342323873632,-0.022149221296273638,-0.0030263148286975034,0.011985638362973172,0.0397042739609057,shrunk_feature
team_defense,pass_success_rate,oppadj_raw,4,2342,0.10571218503563262,-0.014698267433160606,-0.033896629915069316,0.001980903285775633,0.02168088930750023,0.06542801905712903,shrunk_feature
team_defense,pass_success_rate,oppadj_shrunk,2,2721,0.023255617788658225,-0.01868448754570129,-0.03017010969879447,-0.008247248768108104,0.0055710352587609036,0.033469631850030046,shrunk_feature
team_defense,pass_success_rate,oppadj_shrunk,4,2342,0.02150031076820249,-0.027225872634178527,-0.04840085412589147,-0.0085085319634046,0.00960242620893792,0.05388966407520668,shrunk_feature
team_defense,rush_success_rate,oppadj_raw,2,2721,0.10385956339638222,-0.012918834681512559,-0.024741671183729344,-0.0026868849910356477,0.0025945732743071215,0.05457386774695516,shrunk_feature
team_defense,rush_success_rate,oppadj_raw,4,2342,0.1464268287372064,-0.01675324774213416,-0.03805430285237285,0.003387892726757941,0.005896538660973949,0.09106395116261001,shrunk_feature
team_defense,rush_success_rate,oppadj_shrunk,2,2721,0.07298130380473265,-0.010984078173407186,-0.020660267553815923,-0.001133736102375227,0.0044996979244811275,0.056379707760666364,shrunk_feature
team_defense,rush_success_rate,oppadj_shrunk,4,2342,0.10062463356137005,-0.014316572969026886,-0.031506982111415144,0.003429431913432985,0.008278932650353843,0.09324223930232145,shrunk_feature
team_defense,success_rate,oppadj_raw,2,2721,0.09728027481099949,-0.018651122452103763,-0.033323128204207436,-0.005733740450295683,0.011507609369953986,0.05667110331575731,shrunk_feature
team_defense,success_rate,oppadj_raw,4,2342,0.1292965529048243,-0.023946474033566645,-0.049431726344254225,-0.0008802938777302433,0.019495630288794863,0.09290651744214373,shrunk_feature
team_defense,success_rate,oppadj_shrunk,2,2721,0.021820325758190547,-0.02178051219635968,-0.034834999280603005,-0.010630625255917781,0.008470870017950438,0.05377311036245069,shrunk_feature
team_defense,success_rate,oppadj_shrunk,4,2342,0.020102758939991854,-0.02958424020090722,-0.05097660794013143,-0.009304854775129679,0.014097052821447575,0.08791213436034595,shrunk_feature
team_offense,early_down_epa_per_play,oppadj_raw,2,2721,0.21837461000600472,-0.027651944453732646,-0.0499309447684658,-0.007431274674615934,0.028028112881064993,0.0692443330781537,shrunk_feature
team_offense,early_down_epa_per_play,oppadj_raw,4,2342,0.2802387230920374,-0.04676886085548815,-0.08470898733079693,-0.010705038119496225,0.0455568598565278,0.10570569873722835,shrunk_feature
