family,metric,shrinkage_status,shrinkage_evidence,opponent_adjustment_status,opponent_adjustment_evidence,combined
team_offense,team_offense.pass_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.044[0.029] n=2732 | H4: skill_vs_ref=0.088[0.060] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.034[-0.054] n=2721 | H4: skill_vs_ref=-0.054[-0.088] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.proe,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=0.016[-0.001] n=2732 | H4: skill_vs_ref=0.030[-0.001] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.058[-0.089] n=2721 | H4: skill_vs_ref=-0.072[-0.118] n=2342,NEITHER
team_offense,team_offense.rush_epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.059[0.043] n=2732 | H4: skill_vs_ref=0.098[0.069] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.010[-0.020] n=2721 | H4: skill_vs_ref=-0.018[-0.035] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.rush_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.054[0.040] n=2732 | H4: skill_vs_ref=0.095[0.066] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.016[-0.029] n=2721 | H4: skill_vs_ref=-0.027[-0.051] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.036[0.021] n=2732 | H4: skill_vs_ref=0.066[0.036] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.046[-0.071] n=2721 | H4: skill_vs_ref=-0.071[-0.110] n=2342,SHRINKAGE_ONLY
wr,wr.adot,UNVALIDATED,ambiguous: H2: skill_vs_ref=0.016[0.010] n=13728 | H4: skill_vs_ref=0.032[0.022] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.065[-0.083] n=13689 | H4: skill_vs_ref=-0.085[-0.113] n=10002,NEITHER
wr,wr.catch_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.062[0.055] n=13728 | H4: skill_vs_ref=0.118[0.105] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.005[-0.011] n=13689 | H4: skill_vs_ref=-0.008[-0.019] n=10002,SHRINKAGE_ONLY
wr,wr.explosive_rec_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.078[0.069] n=13728 | H4: skill_vs_ref=0.153[0.135] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.008[-0.012] n=13689 | H4: skill_vs_ref=-0.012[-0.019] n=10002,SHRINKAGE_ONLY
wr,wr.target_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.085[0.078] n=13728 | H4: skill_vs_ref=0.160[0.146] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.003[-0.006] n=13689 | H4: skill_vs_ref=-0.005[-0.013] n=10002,SHRINKAGE_ONLY
wr,wr.yards_per_reception,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.042[0.033] n=13699 | H4: skill_vs_ref=0.085[0.068] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.013[-0.021] n=13660 | H4: skill_vs_ref=-0.014[-0.028] n=10002,SHRINKAGE_ONLY
wr,wr.yards_per_target,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.078[0.068] n=13728 | H4: skill_vs_ref=0.155[0.137] n=10029,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.008[-0.013] n=13689 | H4: skill_vs_ref=-0.012[-0.021] n=10002,SHRINKAGE_ONLY
