family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
wr,adot,shrunk,4,10029,0.8241120473746364,0.031569311852597925,0.022149605947365737,0.04084585147003286,0.4631439193076352,0.0373700992942988,raw_feature
wr,catch_rate,shrunk,2,13728,0.3106694669847038,0.06248105543042837,0.05541910005585459,0.06982940281852346,0.047838404841232474,0.018923741985236386,raw_feature
wr,catch_rate,shrunk,4,10029,0.3867492817149823,0.11798675633355227,0.10538801157411076,0.13157648713846287,0.07744014559105517,0.03766036298703901,raw_feature
wr,explosive_rec_rate,shrunk,2,13728,0.22107082051051366,0.07822863797874113,0.06920741563907118,0.0875168246422663,0.02210195527914438,0.03741855883484069,raw_feature
wr,explosive_rec_rate,shrunk,4,10029,0.29093011283384235,0.15286281715982808,0.13452540740011273,0.16940185860280857,0.03618295344320144,0.06584990684919101,raw_feature
wr,target_success_rate,shrunk,2,13728,0.14937423295419797,0.0854167128061748,0.07765876718470364,0.09292436964071148,0.012728199133258067,0.031098844593749675,raw_feature
wr,target_success_rate,shrunk,4,10029,0.201137349297457,0.16026848158708573,0.14625190556618908,0.17481682733595238,0.02488993956607044,0.05779762570117364,raw_feature
wr,yards_per_reception,shrunk,2,13699,0.4470454032978712,0.04160720860821254,0.0325737653221601,0.050857852479250516,0.08299154610573167,0.020084606076700262,raw_feature
wr,yards_per_reception,shrunk,4,10029,0.5397407131943386,0.08463083071695388,0.06760461816863463,0.10209069120239979,0.12936655014217713,0.038150886221384406,raw_feature
wr,yards_per_target,shrunk,2,13728,0.22953107164053005,0.07783660983170893,0.0683858877164826,0.08808070179055713,0.022937330924850285,0.03717969204317084,raw_feature
wr,yards_per_target,shrunk,4,10029,0.29081053919902516,0.15480774624363014,0.1367974264274325,0.17442018768415213,0.03903661548096249,0.06792739313203255,raw_feature
ngs_passing,avg_time_to_throw,shrunk,4,213,,0.11826026562283987,0.07428033542932744,0.17546279577796178,0.23467375208837493,,prior_season_raw
ngs_receiving,avg_separation,shrunk,4,632,,0.13130791819217402,0.08529770244933307,0.1782200475724272,0.16742263627090093,,prior_season_raw
